date,description,category,amount,type,type_clean,month,year,bucket,day,dayofweek,is_weekend,amount_log,is_expense
2020-03-18,Value thing these.,Health & Fitness,881.82,Expense,expense,2020-03,2020,lainnya,18,2,0,6.783121329313994,1
2020-03-21,Citizen street region.,Rent,503.33,Expense,expense,2020-03,2020,kebutuhan_pokok,21,5,1,6.223230815713077,1
2020-03-23,Property never.,Investment,2385.0,Income,income,2020-03,2020,tabungan,23,0,0,7.777373602657861,0
2020-03-23,Enough threat score.,Food & Drink,151.28,Expense,expense,2020-03,2020,kebutuhan_pokok,23,0,0,5.0257209315142966,1
2020-03-24,Example decision garden.,Entertainment,144.13,Expense,expense,2020-03,2020,kebutuhan_sekunder,24,1,0,4.9776298924822715,1
2020-03-28,Major town suffer begin.,Other,1080.0,Income,income,2020-03,2020,lainnya,28,5,1,6.985641817639208,0
2020-04-01,Analysis four capital.,Travel,1341.27,Expense,expense,2020-04,2020,kebutuhan_sekunder,1,2,0,7.202117489545553,1
2020-04-05,Scientist necessary into.,Utilities,1449.47,Expense,expense,2020-04,2020,kebutuhan_pokok,5,6,1,7.279642920824305,1
2020-04-06,Away third.,Salary,493.56,Expense,expense,2020-04,2020,income,6,0,0,6.203668478383806,1
2020-04-06,Along hard need involve among.,Shopping,388.92,Expense,expense,2020-04,2020,kebutuhan_sekunder,6,0,0,5.965941589876897,1
2020-04-10,Together decide.,Other,3402.0,Income,income,2020-04,2020,lainnya,10,4,0,8.132412674500905,0
2020-04-17,Government nice.,Salary,1729.04,Expense,expense,2020-04,2020,income,17,4,0,7.455899808611813,1
2020-04-17,See understand door class son.,Investment,996.0,Income,income,2020-04,2020,tabungan,17,4,0,6.904750769961838,0
2020-04-18,Agent say forward us.,Health & Fitness,1603.18,Expense,expense,2020-04,2020,lainnya,18,5,1,7.3803680015817,1
2020-04-22,City red him.,Investment,2058.0,Income,income,2020-04,2020,tabungan,22,2,0,7.629975707027789,0
2020-04-23,Develop staff least figure.,Utilities,849.54,Expense,expense,2020-04,2020,kebutuhan_pokok,23,3,0,6.745871441888128,1
2020-04-25,Age cover foreign.,Entertainment,1750.23,Expense,expense,2020-04,2020,kebutuhan_sekunder,25,5,1,7.468073677172013,1
2020-04-26,Go meeting quickly.,Investment,914.0,Income,income,2020-04,2020,tabungan,26,6,1,6.818924065275521,0
2020-04-26,Voice boy wife condition.,Food & Drink,1938.3,Expense,expense,2020-04,2020,kebutuhan_pokok,26,6,1,7.570082362202195,1
2020-04-27,Board its.,Entertainment,340.96,Expense,expense,2020-04,2020,kebutuhan_sekunder,27,0,0,5.834693771158033,1
2020-04-27,Paper memory history office.,Entertainment,1730.65,Expense,expense,2020-04,2020,kebutuhan_sekunder,27,0,0,7.456829990179825,1
2020-04-29,Remember ability.,Utilities,764.16,Expense,expense,2020-04,2020,kebutuhan_pokok,29,2,0,6.640084962284453,1
2020-04-30,Hair attorney professional.,Travel,1853.77,Expense,expense,2020-04,2020,kebutuhan_sekunder,30,3,0,7.525515978135908,1
2020-05-01,Finish summer rest feel finally.,Travel,851.78,Expense,expense,2020-05,2020,kebutuhan_sekunder,1,4,0,6.748501600978975,1
2020-05-03,I fast camera inside.,Salary,318.05,Expense,expense,2020-05,2020,income,3,6,1,5.765347830314356,1
2020-05-03,Past feeling nature.,Food & Drink,1162.57,Expense,expense,2020-05,2020,kebutuhan_pokok,3,6,1,7.059248144232995,1
2020-05-05,Expert involve oil.,Health & Fitness,123.76,Expense,expense,2020-05,2020,lainnya,5,1,0,4.826391891739602,1
2020-05-06,Kid put memory soldier.,Utilities,123.19,Expense,expense,2020-05,2020,kebutuhan_pokok,6,2,0,4.8218126509599415,1
2020-05-06,Exist professional.,Utilities,146.36,Expense,expense,2020-05,2020,kebutuhan_pokok,6,2,0,4.992878572506997,1
2020-05-07,Stand seem.,Investment,3807.0,Income,income,2020-05,2020,tabungan,7,3,0,8.244859395911256,0
2020-05-11,Southern challenge animal.,Investment,825.0,Income,income,2020-05,2020,tabungan,11,0,0,6.716594773520978,0
2020-05-12,Sure authority increase picture create.,Shopping,1318.17,Expense,expense,2020-05,2020,kebutuhan_sekunder,12,1,0,7.184758029931623,1
2020-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,expense,2020-05,2020,lainnya,13,2,0,7.534265738722285,1
2020-05-14,Despite sound receive let.,Health & Fitness,484.99,Expense,expense,2020-05,2020,lainnya,14,3,0,6.186188047557115,1
2020-05-15,True building card.,Travel,919.88,Expense,expense,2020-05,2020,kebutuhan_sekunder,15,4,0,6.8253297346068065,1
2020-05-16,Write other wear through partner.,Rent,28.54,Expense,expense,2020-05,2020,kebutuhan_pokok,16,5,1,3.3857452771032337,1
2020-05-17,Store natural today season.,Rent,155.79,Expense,expense,2020-05,2020,kebutuhan_pokok,17,6,1,5.054907330372359,1
2020-05-19,Else easy point she.,Travel,273.59,Expense,expense,2020-05,2020,kebutuhan_sekunder,19,1,0,5.615279076064797,1
2020-05-20,Phone ever back experience.,Rent,1759.75,Expense,expense,2020-05,2020,kebutuhan_pokok,20,2,0,7.473495133625519,1
2020-05-21,Floor music catch discuss.,Utilities,881.99,Expense,expense,2020-05,2020,kebutuhan_pokok,21,3,0,6.783313875511519,1
2020-05-25,Ask imagine my.,Travel,1227.24,Expense,expense,2020-05,2020,kebutuhan_sekunder,25,0,0,7.113337529350644,1
2020-05-27,Deal information.,Food & Drink,1339.05,Expense,expense,2020-05,2020,kebutuhan_pokok,27,2,0,7.200462205681664,1
2020-05-28,Task she.,Rent,1878.47,Expense,expense,2020-05,2020,kebutuhan_pokok,28,3,0,7.5387451011849045,1
2020-05-29,Accept goal send table.,Investment,1376.0,Income,income,2020-05,2020,tabungan,29,4,0,7.227662498728655,0
2020-05-30,Section national owner determine detail.,Utilities,551.97,Expense,expense,2020-05,2020,kebutuhan_pokok,30,5,1,6.315303750502855,1
2020-05-31,Ahead from quickly identify.,Health & Fitness,415.16,Expense,expense,2020-05,2020,lainnya,31,6,1,6.031069801700341,1
2020-05-31,Try wonder move trade.,Travel,1015.76,Expense,expense,2020-05,2020,kebutuhan_sekunder,31,6,1,6.924376379998373,1
2020-06-01,Base investment.,Food & Drink,193.67,Expense,expense,2020-06,2020,kebutuhan_pokok,1,0,0,5.271305817301187,1
2020-06-02,Anyone here deep.,Travel,97.73,Expense,expense,2020-06,2020,kebutuhan_sekunder,2,1,0,4.592388851623358,1
2020-06-05,Seven here sell story.,Utilities,1277.86,Expense,expense,2020-06,2020,kebutuhan_pokok,5,4,0,7.153724335071575,1
2020-06-06,Like see.,Salary,1107.84,Expense,expense,2020-06,2020,income,6,5,1,7.011069702821025,1
2020-06-07,Difference attention whatever american.,Food & Drink,232.63,Expense,expense,2020-06,2020,kebutuhan_pokok,7,6,1,5.453738667365866,1
2020-06-08,Current after charge.,Utilities,1095.72,Expense,expense,2020-06,2020,kebutuhan_pokok,8,0,0,7.000079186127645,1
2020-06-09,Prove nor design record.,Utilities,865.28,Expense,expense,2020-06,2020,kebutuhan_pokok,9,1,0,6.76420818193907,1
2020-06-09,Paper white responsibility.,Other,826.0,Income,income,2020-06,2020,lainnya,9,1,0,6.717804695023691,0
2020-06-10,Blue agent find.,Entertainment,1367.31,Expense,expense,2020-06,2020,kebutuhan_sekunder,10,2,0,7.221331680697873,1
2020-06-10,Walk cup option store.,Health & Fitness,1562.43,Expense,expense,2020-06,2020,lainnya,10,2,0,7.354637404549291,1
2020-06-11,Recent feeling.,Shopping,1947.94,Expense,expense,2020-06,2020,kebutuhan_sekunder,11,3,0,7.575040914015735,1
2020-06-11,Site girl into have media.,Entertainment,1730.57,Expense,expense,2020-06,2020,kebutuhan_sekunder,11,3,0,7.45678379040042,1
2020-06-12,Support state.,Utilities,1764.02,Expense,expense,2020-06,2020,kebutuhan_pokok,12,4,0,7.475917300747956,1
2020-06-14,Whether player stock religious.,Other,3872.0,Income,income,2020-06,2020,lainnya,14,6,1,8.261784679514752,0
2020-06-15,Safe whole establish.,Entertainment,540.94,Expense,expense,2020-06,2020,kebutuhan_sekunder,15,0,0,6.2951552942048155,1
2020-06-18,Let stay or focus.,Rent,771.26,Expense,expense,2020-06,2020,kebutuhan_pokok,18,3,0,6.649321280889342,1
2020-06-18,Everything late.,Other,2322.0,Income,income,2020-06,2020,lainnya,18,3,0,7.750614732770409,0
2020-06-18,Particular her agreement surface consider.,Other,3364.0,Income,income,2020-06,2020,lainnya,18,3,0,8.121183242078828,0
2020-06-19,Something future they red.,Entertainment,453.62,Expense,expense,2020-06,2020,kebutuhan_sekunder,19,4,0,6.119461905171337,1
2020-06-19,Act way beat result major.,Shopping,663.24,Expense,expense,2020-06,2020,kebutuhan_sekunder,19,4,0,6.4986435299537755,1
2020-06-21,Position make society behavior.,Travel,708.78,Expense,expense,2020-06,2020,kebutuhan_sekunder,21,6,1,6.564955062864165,1
2020-06-21,Reality fill ok list.,Health & Fitness,1879.08,Expense,expense,2020-06,2020,lainnya,21,6,1,7.539069608110123,1
2020-06-22,International second former reflect.,Other,1962.0,Income,income,2020-06,2020,lainnya,22,0,0,7.5822291942764615,0
2020-06-22,Edge building court.,Travel,86.13,Expense,expense,2020-06,2020,kebutuhan_sekunder,22,0,0,4.467401256243195,1
2020-06-24,Week real course school everybody.,Health & Fitness,1459.8,Expense,expense,2020-06,2020,lainnya,24,2,0,7.286739509840704,1
2020-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense,expense,2020-06,2020,kebutuhan_pokok,30,1,0,6.656135089675378,1
2020-06-30,Call animal approach factor want.,Travel,98.33,Expense,expense,2020-06,2020,kebutuhan_sekunder,30,1,0,4.598447640227264,1
2020-07-02,Their off.,Entertainment,734.8,Expense,expense,2020-07,2020,kebutuhan_sekunder,2,3,0,6.600958342670674,1
2020-07-03,Key continue anything wait.,Other,3071.0,Income,income,2020-07,2020,lainnya,3,4,0,8.030084094267563,0
2020-07-04,State husband.,Rent,1442.31,Expense,expense,2020-07,2020,kebutuhan_pokok,4,5,1,7.274694365915995,1
2020-07-05,Picture approach chance none fight.,Travel,1337.12,Expense,expense,2020-07,2020,kebutuhan_sekunder,5,6,1,7.19902092276527,1
2020-07-06,Newspaper indicate other.,Travel,1113.28,Expense,expense,2020-07,2020,kebutuhan_sekunder,6,0,0,7.0159637354040925,1
2020-07-06,Herself training father open investment.,Other,1925.0,Income,income,2020-07,2020,lainnya,6,0,0,7.563200592358071,0
2020-07-08,Art whether between several personal.,Travel,818.09,Expense,expense,2020-07,2020,kebutuhan_sekunder,8,2,0,6.708193967925483,1
2020-07-11,Church community.,Travel,580.96,Expense,expense,2020-07,2020,kebutuhan_sekunder,11,5,1,6.366401716847188,1
2020-07-12,Able late order.,Health & Fitness,935.33,Expense,expense,2020-07,2020,lainnya,12,6,1,6.841967978444037,1
2020-07-12,Discuss religious.,Entertainment,1027.24,Expense,expense,2020-07,2020,kebutuhan_sekunder,12,6,1,6.935603881801876,1
2020-07-13,Reach under.,Utilities,1321.11,Expense,expense,2020-07,2020,kebutuhan_pokok,13,0,0,7.186984224211824,1
2020-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense,expense,2020-07,2020,lainnya,17,4,0,5.2823912159977775,1
2020-07-20,Arrive society.,Entertainment,1348.86,Expense,expense,2020-07,2020,kebutuhan_sekunder,20,0,0,7.207756162351171,1
2020-07-21,Keep light fight.,Entertainment,303.23,Expense,expense,2020-07,2020,kebutuhan_sekunder,21,1,0,5.717783994292015,1
2020-07-21,Matter management ball.,Other,1096.0,Income,income,2020-07,2020,lainnya,21,1,0,7.00033446027523,0
2020-07-22,Same page ago director.,Entertainment,1439.51,Expense,expense,2020-07,2020,kebutuhan_sekunder,22,2,0,7.272752496534503,1
2020-07-22,Week yourself public especially american.,Shopping,495.53,Expense,expense,2020-07,2020,kebutuhan_sekunder,22,2,0,6.207643904620559,1
2020-07-22,Million kind everything young.,Food & Drink,1786.39,Expense,expense,2020-07,2020,kebutuhan_pokok,22,2,0,7.488511734213056,1
2020-07-23,Why like impact fly.,Rent,1559.06,Expense,expense,2020-07,2020,kebutuhan_pokok,23,3,0,7.3524795610424185,1
2020-07-24,Form really explain.,Salary,109.93,Expense,expense,2020-07,2020,income,24,4,0,4.708899371750569,1
2020-07-28,Already because education break significant.,Rent,918.36,Expense,expense,2020-07,2020,kebutuhan_pokok,28,1,0,6.823677775790925,1
2020-07-28,Price my.,Health & Fitness,1900.58,Expense,expense,2020-07,2020,lainnya,28,1,0,7.550440398531693,1
2020-07-29,Could gun.,Shopping,1662.83,Expense,expense,2020-07,2020,kebutuhan_sekunder,29,2,0,7.416877452700573,1
2020-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense,expense,2020-07,2020,kebutuhan_pokok,30,3,0,7.307115121157986,1
2020-07-31,Ahead picture son.,Travel,1506.04,Expense,expense,2020-07,2020,kebutuhan_sekunder,31,4,0,7.317902741074507,1
2020-08-01,Nearly need behavior.,Travel,1533.97,Expense,expense,2020-08,2020,kebutuhan_sekunder,1,5,1,7.33626611585637,1
2020-08-01,Water positive child usually.,Entertainment,556.45,Expense,expense,2020-08,2020,kebutuhan_sekunder,1,5,1,6.323372813213581,1
2020-08-01,Relate indeed lot line lead.,Other,2420.0,Income,income,2020-08,2020,lainnya,1,5,1,7.791935956938058,0
2020-08-02,Course out second carry.,Health & Fitness,1787.12,Expense,expense,2020-08,2020,lainnya,2,6,1,7.488920067575369,1
2020-08-03,Significant take future.,Investment,2394.0,Income,income,2020-08,2020,tabungan,3,0,0,7.781138509845015,0
2020-08-04,Star executive fear.,Utilities,1415.77,Expense,expense,2020-08,2020,kebutuhan_pokok,4,1,0,7.256134911766745,1
2020-08-04,Your majority chance mrs generation.,Other,3210.0,Income,income,2020-08,2020,lainnya,4,1,0,8.074337694089515,0
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense,expense,2020-08,2020,kebutuhan_sekunder,4,1,0,4.904607889450726,1
2020-08-05,Task improve fish.,Shopping,1810.63,Expense,expense,2020-08,2020,kebutuhan_sekunder,5,2,0,7.501982271491952,1
2020-08-05,History professional star wonder.,Food & Drink,1714.9,Expense,expense,2020-08,2020,kebutuhan_pokok,5,2,0,7.447693003291575,1
2020-08-06,Call whole.,Shopping,959.19,Expense,expense,2020-08,2020,kebutuhan_sekunder,6,3,0,6.867131181545629,1
2020-08-08,Them key.,Travel,1509.42,Expense,expense,2020-08,2020,kebutuhan_sekunder,8,5,1,7.320143036828992,1
2020-08-08,Address century that wide.,Shopping,1081.06,Expense,expense,2020-08,2020,kebutuhan_sekunder,8,5,1,6.986621910734038,1
2020-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense,expense,2020-08,2020,kebutuhan_sekunder,9,6,1,6.890181765364973,1
2020-08-13,System teacher here first.,Salary,67.76,Expense,expense,2020-08,2020,income,13,3,0,4.230622180514649,1
2020-08-14,Along attention piece tv young.,Shopping,1451.12,Expense,expense,2020-08,2020,kebutuhan_sekunder,14,4,0,7.2807798365979615,1
2020-08-16,Within set region beyond.,Utilities,1961.64,Expense,expense,2020-08,2020,kebutuhan_pokok,16,6,1,7.582045784691777,1
2020-08-17,Tough animal someone.,Shopping,1187.87,Expense,expense,2020-08,2020,kebutuhan_sekunder,17,0,0,7.0807585551370975,1
2020-08-18,Hear certainly most not.,Rent,1289.07,Expense,expense,2020-08,2020,kebutuhan_pokok,18,1,0,7.162451759449395,1
2020-08-19,Company participant him.,Other,1988.0,Income,income,2020-08,2020,lainnya,19,2,0,7.5953872788539725,0
2020-08-20,Tree central leave effect.,Other,3181.0,Income,income,2020-08,2020,lainnya,20,3,0,8.065265208897733,0
2020-08-21,Together let.,Health & Fitness,681.63,Expense,expense,2020-08,2020,lainnya,21,4,0,6.525952985111305,1
2020-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense,expense,2020-08,2020,kebutuhan_sekunder,21,4,0,7.318207928601341,1
2020-08-22,Lead few yourself.,Travel,1671.47,Expense,expense,2020-08,2020,kebutuhan_sekunder,22,5,1,7.422056854621779,1
2020-08-22,Down occur.,Food & Drink,1999.82,Expense,expense,2020-08,2020,kebutuhan_pokok,22,5,1,7.601312375515049,1
2020-08-26,Yeah far within.,Rent,1564.65,Expense,expense,2020-08,2020,kebutuhan_pokok,26,2,0,7.356056352209614,1
2020-08-27,Account ten sing.,Food & Drink,1899.73,Expense,expense,2020-08,2020,kebutuhan_pokok,27,3,0,7.549993301890884,1
2020-08-27,Seat strategy total simply discover.,Investment,1748.0,Income,income,2020-08,2020,tabungan,27,3,0,7.466799475018602,0
2020-08-29,Pm per question.,Salary,1342.22,Expense,expense,2020-08,2020,income,29,5,1,7.202824995467845,1
2020-08-30,Best physical always small almost.,Entertainment,935.42,Expense,expense,2020-08,2020,kebutuhan_sekunder,30,6,1,6.8420640937825175,1
2020-08-31,Bed far section.,Health & Fitness,343.9,Expense,expense,2020-08,2020,lainnya,31,0,0,5.843254519942795,1
2020-09-01,Car much will.,Rent,1557.81,Expense,expense,2020-09,2020,kebutuhan_pokok,1,1,0,7.351677988635149,1
2020-09-05,Tree store either station.,Other,1385.0,Income,income,2020-09,2020,lainnya,5,5,1,7.234177179749849,0
2020-09-05,Second full boy.,Travel,1155.84,Expense,expense,2020-09,2020,kebutuhan_sekunder,5,5,1,7.053447428953302,1
2020-09-06,Senior difficult put.,Shopping,799.34,Expense,expense,2020-09,2020,kebutuhan_sekunder,6,6,1,6.685036637381008,1
2020-09-07,Hand so add mr lawyer.,Rent,1188.27,Expense,expense,2020-09,2020,kebutuhan_pokok,7,0,0,7.081094952492823,1
2020-09-08,Herself police he push likely.,Entertainment,212.78,Expense,expense,2020-09,2020,kebutuhan_sekunder,8,1,0,5.3649474488457995,1
2020-09-11,Trip determine as statement.,Rent,1594.49,Expense,expense,2020-09,2020,kebutuhan_pokok,11,4,0,7.3749361780709535,1
2020-09-11,Bring animal also you.,Food & Drink,700.94,Expense,expense,2020-09,2020,kebutuhan_pokok,11,4,0,6.553847930287565,1
2020-09-11,Doctor mr.,Health & Fitness,147.22,Expense,expense,2020-09,2020,lainnya,11,4,0,4.998697656523213,1
2020-09-16,He we recent music.,Food & Drink,1700.66,Expense,expense,2020-09,2020,kebutuhan_pokok,16,2,0,7.439359524195264,1
2020-09-17,Those pressure street.,Rent,872.71,Expense,expense,2020-09,2020,kebutuhan_pokok,17,3,0,6.772748512814833,1
2020-09-17,Allow have kitchen.,Salary,1417.54,Expense,expense,2020-09,2020,income,17,3,0,7.257383452652878,1
2020-09-18,Between rate name within.,Travel,1235.67,Expense,expense,2020-09,2020,kebutuhan_sekunder,18,4,0,7.1201775623475285,1
2020-09-18,Huge couple.,Salary,935.1,Expense,expense,2020-09,2020,income,18,4,0,6.841722308377699,1
2020-09-22,Begin deep police wife.,Travel,651.39,Expense,expense,2020-09,2020,kebutuhan_sekunder,22,1,0,6.480642542609764,1
2020-09-22,During call north attention.,Rent,565.07,Expense,expense,2020-09,2020,kebutuhan_pokok,22,1,0,6.338717745467733,1
2020-09-22,Only spend do.,Salary,1144.0,Expense,expense,2020-09,2020,income,22,1,0,7.0431599159883405,1
2020-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,Expense,expense,2020-09,2020,lainnya,23,2,0,4.221124045253227,1
2020-09-23,Produce ago.,Utilities,980.22,Expense,expense,2020-09,2020,kebutuhan_pokok,23,2,0,6.888796695380839,1
2020-09-25,So draw food company.,Travel,687.27,Expense,expense,2020-09,2020,kebutuhan_sekunder,25,4,0,6.534181202808643,1
2020-09-27,Score moment second.,Travel,1116.02,Expense,expense,2020-09,2020,kebutuhan_sekunder,27,6,1,7.018419704011861,1
2020-09-27,Sing message board mean.,Entertainment,180.37,Expense,expense,2020-09,2020,kebutuhan_sekunder,27,6,1,5.200539143629332,1
2020-09-27,Feeling poor all your suggest.,Salary,1114.8,Expense,expense,2020-09,2020,income,27,6,1,7.017326915411428,1
2020-09-29,Make travel.,Salary,1295.35,Expense,expense,2020-09,2020,income,29,1,0,7.167307902180511,1
2020-09-30,Focus chance.,Food & Drink,195.18,Expense,expense,2020-09,2020,kebutuhan_pokok,30,2,0,5.27903260513617,1
2020-10-01,Person one republican.,Entertainment,619.35,Expense,expense,2020-10,2020,kebutuhan_sekunder,1,3,0,6.430283834888881,1
2020-10-03,Most law painting between reduce.,Salary,1111.41,Expense,expense,2020-10,2020,income,3,5,1,7.0142841118915005,1
2020-10-04,Involve thousand including.,Health & Fitness,710.1,Expense,expense,2020-10,2020,lainnya,4,6,1,6.566813066889472,1
2020-10-07,Indeed believe interview professor.,Travel,510.29,Expense,expense,2020-10,2020,kebutuhan_sekunder,7,2,0,6.236936943905255,1
2020-10-07,Rather listen before.,Investment,3084.0,Income,income,2020-10,2020,tabungan,7,2,0,8.034306936339489,0
2020-10-07,It season.,Investment,2069.0,Income,income,2020-10,2020,tabungan,7,2,0,7.635303886259415,0
2020-10-08,News only no.,Salary,560.23,Expense,expense,2020-10,2020,income,8,3,0,6.3301308036776565,1
2020-10-08,Improve them wait.,Travel,1961.22,Expense,expense,2020-10,2020,kebutuhan_sekunder,8,3,0,7.581831764318259,1
